timestamp,mean
2025-06-21 20:00:00,1.5065725
2025-06-21 20:05:00,1.4628972
2025-06-21 20:10:00,1.4557302
2025-06-21 20:15:00,1.4635687
2025-06-21 20:20:00,1.4037678
2025-06-21 20:25:00,1.4082161
2025-06-21 20:30:00,1.4367582
2025-06-21 20:35:00,1.4946302
2025-06-21 20:40:00,1.44757
2025-06-21 20:45:00,1.3957571
2025-06-21 20:50:00,1.4816685
2025-06-21 20:55:00,1.4172704
2025-06-21 21:00:00,1.5026951
2025-06-21 21:05:00,1.4382055
2025-06-21 21:10:00,1.4369475
2025-06-21 21:15:00,1.4589889
2025-06-21 21:20:00,1.5548719
2025-06-21 21:25:00,1.4499345
2025-06-21 21:30:00,1.4589543
2025-06-21 21:35:00,1.4536445
2025-06-21 21:40:00,1.4772738
2025-06-21 21:45:00,1.4588873
2025-06-21 21:50:00,1.4549412
2025-06-21 21:55:00,1.4387871
2025-06-21 22:00:00,1.4264818
2025-06-21 22:05:00,1.4125205
2025-06-21 22:10:00,1.3986793
2025-06-21 22:15:00,1.4048057
2025-06-21 22:20:00,1.4380503
2025-06-21 22:25:00,1.4008403
2025-06-21 22:30:00,1.4142739
2025-06-21 22:35:00,1.4188669
2025-06-21 22:40:00,1.4057866
2025-06-21 22:45:00,1.4677716
2025-06-21 22:50:00,1.4368911
2025-06-21 22:55:00,1.398563
2025-06-21 23:00:00,1.3495516
2025-06-21 23:05:00,1.4513946
2025-06-21 23:10:00,1.518922
2025-06-21 23:15:00,1.4367353
2025-06-21 23:20:00,1.446694
2025-06-21 23:25:00,1.483112
2025-06-21 23:30:00,1.5294667
2025-06-21 23:35:00,1.4485506
2025-06-21 23:40:00,1.4682678
2025-06-21 23:45:00,1.5026951
2025-06-21 23:50:00,1.4164878
2025-06-21 23:55:00,1.4680208
2025-06-22 00:00:00,1.5131288
2025-06-22 00:05:00,1.5418746
2025-06-22 00:10:00,1.6350616
2025-06-22 00:15:00,1.5850505
2025-06-22 00:20:00,1.6166836
2025-06-22 00:25:00,1.5691495
2025-06-22 00:30:00,1.5744894
2025-06-22 00:35:00,1.5355539
2025-06-22 00:40:00,1.6110139
2025-06-22 00:45:00,1.5954491
2025-06-22 00:50:00,1.5847292
2025-06-22 00:55:00,1.5945176
2025-06-22 01:00:00,1.548585
2025-06-22 01:05:00,1.5496995
2025-06-22 01:10:00,1.5745662
2025-06-22 01:15:00,1.5564173
2025-06-22 01:20:00,1.5776798
2025-06-22 01:25:00,1.5641323
2025-06-22 01:30:00,1.6331334
2025-06-22 01:35:00,1.6424962
2025-06-22 01:40:00,1.5915506
2025-06-22 01:45:00,1.6650072
2025-06-22 01:50:00,1.5964001
2025-06-22 01:55:00,1.6226605
2025-06-22 02:00:00,1.6424599
2025-06-22 02:05:00,1.6548442
2025-06-22 02:10:00,1.7044345
2025-06-22 02:15:00,1.68583
2025-06-22 02:20:00,1.6822765
2025-06-22 02:25:00,1.6615156
2025-06-22 02:30:00,1.6476585
2025-06-22 02:35:00,1.7118782
2025-06-22 02:40:00,1.7189204
2025-06-22 02:45:00,1.6414158
2025-06-22 02:50:00,1.7529159
2025-06-22 02:55:00,1.7273568
2025-06-22 03:00:00,1.6652703
2025-06-22 03:05:00,1.7625889
2025-06-22 03:10:00,1.7367545
2025-06-22 03:15:00,1.730207
2025-06-22 03:20:00,1.75432
2025-06-22 03:25:00,1.723328
2025-06-22 03:30:00,1.7834977
2025-06-22 03:35:00,1.7599438
2025-06-22 03:40:00,1.7046219
2025-06-22 03:45:00,1.7015122
2025-06-22 03:50:00,1.8161619
2025-06-22 03:55:00,1.7659825
2025-06-22 04:00:00,1.7941401
2025-06-22 04:05:00,1.7987891
2025-06-22 04:10:00,1.8243579
2025-06-22 04:15:00,1.7766197
2025-06-22 04:20:00,1.7761205
2025-06-22 04:25:00,1.8046224
2025-06-22 04:30:00,1.8272756
2025-06-22 04:35:00,1.8009206
2025-06-22 04:40:00,1.8240069
2025-06-22 04:45:00,1.8421866
2025-06-22 04:50:00,1.8155005
2025-06-22 04:55:00,1.7959483
2025-06-22 05:00:00,1.8297087
2025-06-22 05:05:00,1.8661892
2025-06-22 05:10:00,1.8410664
2025-06-22 05:15:00,1.8161294
